Unnamed: 0.1,Unnamed: 0,ISBN,ID,title,authors,description,avg_rating,age,no_synset,synset
91,91,9780060812546,1037236,"Alas, Babylon",[Pat Frank],"<b>
  <i>Listening time 11 hours 11 minutes</i>
</b><br /><br />This true modern masterpiece is built around the two fateful words that make up the title and herald the end - ""Alas, Babylon."" When a nuclear holocaust ravages the United States, a thousand years of civilization are stripped away overnight, and tens of millions of people are killed instantly.<br /><br />But for one small town in Florida, miraculously spared, the struggle is just beginning, as men and women of all backgrounds join together to confront the darkness. Will Patton's narration paints this classic tale as an ominous picture of the terrible possibilities of the nuclear age.<br /><br />The day after the bomb dropped the thousands of years of ""progress"" that had covered the treacheries and lusts of ordinary man with a thin veneer of civilization were dissolved and melted like snow on the desert's dusty face. Then--<b>the law of the jungle reigned</b>. But in the wreckage a few courageous survivors, men and women with the guts to have hope, were determined to build a new and better world on the ruins of their old. <b>THIS IS THEIR STORY.</b>",4.08,16.5,,
96,96,9780380717118,947711,The Rain Catchers,[Jean Thesman],"Beyond YesterdayEvery story should have a beginning, a middle, and an end. That's the way it is at grandmother's house where tea is served each day at four and tales of death and divorce, illness and abandonment are shared by grandmother's circle of friends. The women watch over one another and eveyone watches over Grayling -- whose own story has never been told her to hear.<br /><br />But in a summer of many changes, fourteen-year-old Grayling encounters love and romance, joy and saddness...and the need to know her own story -- from the very beginning.",4.05,16.0,,
101,101,9780425173756,1124499,"Murder on the Orient Express (Hercule Poirot, #10)",[Agatha Christie],"Just after midnight, a snowdrift stops the Orient Express in its tracks. The luxurious train is surprisingly full for the time of the year, but by the morning it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.<br /><br />Isolated and with a killer in their midst, detective Hercule Poirot must identify the murderer—in case he or she decides to strike again.",4.17,17.0,,
105,105,9780060931391,941722,"Alas, Babylon",[Pat Frank],"<b>
  <i>Listening time 11 hours 11 minutes</i>
</b><br /><br />This true modern masterpiece is built around the two fateful words that make up the title and herald the end - ""Alas, Babylon."" When a nuclear holocaust ravages the United States, a thousand years of civilization are stripped away overnight, and tens of millions of people are killed instantly.<br /><br />But for one small town in Florida, miraculously spared, the struggle is just beginning, as men and women of all backgrounds join together to confront the darkness. Will Patton's narration paints this classic tale as an ominous picture of the terrible possibilities of the nuclear age.<br /><br />The day after the bomb dropped the thousands of years of ""progress"" that had covered the treacheries and lusts of ordinary man with a thin veneer of civilization were dissolved and melted like snow on the desert's dusty face. Then--<b>the law of the jungle reigned</b>. But in the wreckage a few courageous survivors, men and women with the guts to have hope, were determined to build a new and better world on the ruins of their old. <b>THIS IS THEIR STORY.</b>",4.08,16.0,,
110,110,9780809015801,44027873,All But My Life: A Memoir,[Gerda Weissmann Klein],"<i>All But My Life</i> is the unforgettable story of Gerda Weissmann Klein's six-year ordeal as a victim of Nazi cruelty. From her comfortable home in Bielitz (present-day Bielsko) in Poland to her miraculous survival and her liberation by American troops—including the man who was to become her husband—in Volary, Czechoslovakia, in 1945, Gerda takes the reader on a terrifying journey. <br /><br />Gerda's serene and idyllic childhood is shattered when Nazis march into Poland on September 3, 1939. Although the Weissmanns were permitted to live for a while in the basement of their home, they were eventually separated and sent to German labor camps. Over the next few years Gerda experienced the slow, inexorable stripping away of ""all but her life."" By the end of the war she had lost her parents, brother, home, possessions, and community; even the dear friends she made in the labor camps, with whom she had shared so many hardships, were dead. <br /><br />Despite her horrifying experiences, Klein conveys great strength of spirit and faith in humanity. In the darkness of the camps, Gerda and her young friends manage to create a community of friendship and love. Although stripped of the essence of life, they were able to survive the barbarity of their captors. Gerda's beautifully written story gives an invaluable message to everyone. It introduces them to last century's terrible history of devastation and prejudice, yet offers them hope that the effects of hatred can be overcome.",4.28,17.5,,
152,152,9780553582741,65948,From the Corner of His Eye,[Dean Koontz],"His birth was marked by wonder and tragedy. <br />He sees beauty and terror beyond our deepest dreams. <br />His story will change the way you see the world. <br />On the heels of his #1 bestseller False Memory, Dean Koontz brings together his most compelling themes and an unforgettable cast of characters to create what is perhaps the most thrilling and emotionally powerful work of his critically acclaimed career. <br />Bartholomew Lampion is born on a day of tragedy and terror that will mark his family forever. All agree that his unusual eyes are the most beautiful they have ever seen. On this same day, a thousand miles away, a ruthless man learns that he has a mortal enemy named Bartholomew. He embarks on a relentless search to find this enemy, a search that will consume his life. And a girl is born from a brutal rape, her destiny mysteriously linked to Barty and the man who stalks him. <br />At the age of three, Barty Lampion is blinded when surgeons remove his eyes to save him from a fast-spreading cancer. As he copes with his blindness and proves to be a prodigy, his mother counsels him that all things happen for a reason and that every person' s life has an effect on every other person' s, in often unknowable ways. <br />At thirteen, Bartholomew regains his sight. How he regains it, why he regains it, and what happens as his amazing life unfolds and entwines with others results in a breathtaking journey of courage, heart-stopping suspense, and high adventure.",4.03,17.333333333333332,,
157,157,9780007123810,215342,"The Lord of the Rings (The Lord of the Rings, #1-3)",[J.R.R. Tolkien],"<b>One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them</b><br /><br />In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell by chance into the hands of the hobbit Bilbo Baggins.<br /><br />From Sauron's fastness in the Dark Tower of Mordor, his power spread far and wide. Sauron gathered all the Great Rings to him, but always he searched for the One Ring that would complete his dominion.<br /><br />When Bilbo reached his eleventy-first birthday he disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom.<br /><br />The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider.",4.5,16.0,,
173,173,9781590071212,168121,Jane Eyre,[Charlotte Brontë],"<p>Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard.<br /></p><p> But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?</p>",4.13,17.0,,
180,180,9780345416841,491904,Last Sword of Power,[David Gemmell],"BLOOD KING<br />The Goths followed a bloodthirsty new leader, one who sought to open the Gates of Hell: Wotan. His immortal power stemmed from human sacrifice and dark sorcery, and no sword could touch him. He rode the winds on a leather-winged steed, while his armies cut a deadly swath across the northern kingdoms. Even death's icy hand could not stop them. <br />Only Uther Pendragon could save Britannia. To do so he must wield his birthright--Cunobelin's blade, the legendary Sword of Power.<br />But Uther was chained in Hell, the sword lost in swirling Chaos. All hope lay with the warrior known as Revelation, with the magic of the Sipstrassi Stones, and with Anduine, a blind girl possessed of arcane powers. Only if these unlikely allies united could they hope to stop the invincible foe before the world plunged into darkness.",4.02,17.0,,
205,205,9780849943720,1067121,Thr3e,[Ted Dekker],"Enter a world where nothing is what it seems. Where your closest friend could be your greatest enemy.<br /><br />Kevin Parson is driving his car late one summer day when, suddenly, his cell phone rings. A man who identifies himself as Slater speaks in a breathy voice: ""You have exactly three minutes to confess your sin to the world. Refuse, and the car you're driving will blow sky high.""<br /><br />Kevin panics. Who would make such a call? What sin? Kevin ditches the car. Precisely three minutes later, a massive explosion sets his world on a collision course with madness.<br /><br />From the #1 best-selling fiction author comes a powerful story of good, evil, and all that lies between.",4.09,16.0,,
217,217,9780064405058,43235787,"The Magician's Nephew (Chronicles of Narnia, #1)","[C.S. Lewis, Pauline Baynes]","<i>The secret passage to the house next door leads to a fascinating adventure</i><br /><br />NARNIA...where the woods are thick and cold, where Talking Beasts are called to life...a new world where the adventure begins.<br /><br />Digory and Polly meet and become friends one cold, wet summer in London. Their lives burst into adventure when Digory's Uncle Andrew, who thinks he is a magician, sends them hurtling to...somewhere else. They find their way to Narnia, newborn from the Lion's song, and encounter the evil sorceress Jadis before they finally return home.",4.04,16.0,,
222,222,9780330107372,5507,The Diary of Anne Frank,[Anne Frank],"Thirteen-year-old Anne Frank, with her parents and sister and four other people, went into hiding in the sealed-off back rooms of an Amsterdam office building in 1942, when the Nazi invaders intensified their persecution of Jews.<br /><br />For two years they remained safe. In August 1944 they were betrayed, Anne died in the ghastly concentration camp at Belsen. All the others perished too, except her father. <br /><br />Anne's astonishingly intimate diary was found by accident. With a touch of genius it records the strains of her unusual life, the problems of her unfolding womanhood, her falling in love, her unswerving faith in her religion. And it reveals the shining nobility of her spirit.<br /><br />Now known and loved the world over through State, Screen and TV adaptations or in translation, this touchingly human document remains timeless in its appeal<br />--back cover",4.15,16.5,,
224,224,9780439042918,125712,"The Hork-Bajir Chronicles (Animorphs Chronicles, #2)","[K.A. Applegate, Katherine Applegate]","Dak Hamee, born into the Hork-Bajir tribe, is something special from the start. ""Strange,"" says his mother. ""A seer,"" says the Old One, Tila Fashat. ""A seer is one who is born to show a new way. Many, many seasons pass, then our father, the Deep, and our mother, the Sky, say, 'Send a seer to the people. The people have need.' And so one is born who is different."" When strange and different Dak meets Aldrea, the clever Andalite daughter of Prince Seerow, they learn together of the dangerous plot of the Yeerks, and of Esplin 9466, who will stop at nothing to build his empire. Learn more about Prince Seerow's Kindness, find out how Andalites kiss, and plumb the mysteries of the Deep in this suspense-filled story of good, evil, and interspecies love.",4.13,13.5,,
225,225,9780439221658,3376379,"Circles in the Stream (Avalon: Web of Magic, #1)",[Shelly Roberts],"Emily, the veterinarian's daughter, Adriane, whose grandmother is the caretaker at the Ravenswood Wildlife Preserve, and the mayor's snobbish daughter, Kara, have nothing in common until they learn that a talking ferret needs all three of them to help the magical beasts.",4.09,13.5,,
226,226,9780439221672,1747049,All That Glitters,[Rachel Roberts],"Emily and Adriane have one thing Kara doesn't--a magic gem. When Kara finally finds a stone of her own, a diamond unicorn horn, no less, it brings more trouble than anyone can handle. For Kara's jewel is the most powerful of all. But with great power comes great danger. If Kara messes up using her magic, there may be no escape for anyone.",4.07,13.5,,
227,227,9780439221689,2663511,"Cry of the Wolf (Avalon: Web of Magic, #3)",[Rachel Roberts],"When Adriane's wolf, Storm, is lured back into the magical world, Adriane secretly follows. She is shocked by the things she sees, some wondrous, some terrifying. Her journey leads her one step closer to the source of all magic--Avalon--and to a boy she won't ever forget.",4.26,13.5,,
254,254,9780312971342,527790,"High Five (Stephanie Plum, #5)",[Janet Evanovich],"Out of bail skippers and rent money, Stephanie Plum throws caution to the wind and follows in the entrepreneurial bootsteps of Super Bounty Hunter, Ranger, engaging in morally correct and marginally legal enterprises. So, a scumball blows himself to smithereens on her first day of policing a crack house and the sheik she was chauffeuring stole the limo. But hey, nobody's perfect! Anyway, Stephanie has other things on her mind. Her mother wants her to find Uncle Fred who's missing after arguing with his garbage company; homicidal rapist Benito Ramirez is back, quoting scripture and stalking Stephanie; vice cop Joe Morelli has a box of condoms with Stephanie's name on it; and Stephanie's afraid Ranger has his finger on her trigger. The whole gang's here for mirth and mayhem in Janet Evanovich's <i>High Five</i>. Read at your own risk in public places.",4.18,16.285714285714285,,
303,303,9780689835711,682765,"The Hound of the Baskervilles (Sherlock Holmes, #5)",[Arthur Conan Doyle],"We owe <i>The Hound of the Baskervilles</i> (1902) to Arthur Conan Doyle's good friend Fletcher ""Bobbles"" Robinson, who took him to visit some scary English moors and prehistoric ruins, and told him marvelous local legends about escaped prisoners and a 17th-century aristocrat who fell afoul of the family dog. Doyle transmogrified the legend: generations ago, a hound of hell tore out the throat of devilish Hugo Baskerville on the moonlit moor. Poor, accursed Baskerville Hall now has another mysterious death: that of Sir Charles Baskerville. Could the culprit somehow be mixed up with secretive servant Barrymore, history-obsessed Dr. Frankland, butterfly-chasing Stapleton, or Selden, the Notting Hill murderer at large? Someone's been signaling with candles from the mansion's windows. Nor can supernatural forces be ruled out. Can Dr. Watson--left alone by Sherlock Holmes to sleuth in fear for much of the novel--save the next Baskerville, Sir Henry, from the hound's fangs?<p> Many Holmes fans prefer Doyle's complete short stories, but their clockwork logic doesn't match the author's boast about this novel: it's ""a real Creeper!"" What distinguishes this particular <i>Hound</i> is its fulfillment of Doyle's great debt to Edgar Allan Poe--it's full of ancient woe, low moans, a Grimpen Mire that sucks ponies to Dostoyevskian deaths, and locals digging up Neolithic skulls without next-of-kins' consent. ""The longer one stays here the more does the spirit of the moor sink into one's soul,"" Watson realizes. ""Rank reeds and lush, slimy water-plants sent an odour of decay ... while a false step plunged us more than once thigh-deep into the dark, quivering mire, which shook for yards in soft undulations around our feet ... it was as if some malignant hand was tugging us down into those obscene depths."" Read on--but, reader, watch your step! <i>--Tim Appelo</i></p>",4.12,16.5,,
315,315,9780590484756,883313,"Talking to Dragons (Enchanted Forest Chronicles, #4)",[Patricia C. Wrede],"<b>
  <i>""Mother taught me to be polite to dragons. . . .""</i>
</b><br /><br />Daystar never thought he’d be walking through the Enchanted Forest with a magic sword, a fire-witch, and a baby dragon. He never dreamed his mother, Cimorene, would tell him to leave their home and not to return until his task was complete. Or that he alone held the power to release King Mendanbar and the Enchanted Forest from the wizards’ evil spell. He doesn’t even know who King Mendanbar is.<br /><br />But Daystar learns quickly --- and that’s good, because he’s about to encounter magic and wizards and dragons. Quite a deadly combination.",4.19,15.571428571428571,,
316,316,9780874067392,2892652,A Little Princess,[Frances Hodgson Burnett],"Frances Hodgson Burnett's enduring tale, brought to life in a new book-plus-audio edition. <br />In one of the best-loved classic tales for children, Sara Crewe is sent to England to attend Miss Minchin's boarding school for girls. Her time there starts wonderfully as she is treated just like a princess. Unfortunately it is because Miss Minchin is hoping to gain a piece of Sara's family fortune. <br />But when Sara's wealthy father dies and leaves her penniless, Miss Minchin makes Sara do the worst chores in the house. Still, as badly as Miss Minchin treats Sara, with a little help from her friends and her imagination, Sara is determined to find happiness no matter what. <br />A Little Princess is read by Royal Shakespeare actor Lucy Whybrow, with music and effects to set the mood. <br />With the included audio you can HEAR the entire book, word for word, READ ALONG with the audio, or READ the story on your own. <br />Each HEAR IT READ IT classic presents the world's greatest stories in an easy-to-read abridged format. The included audio contains a dramatic reading-with music and sound effects-that match the text, word for word, so children of all ages and reading levels can read along.",4.2,13.5,,
364,364,9780140348101,1110905,"My Side of the Mountain (Mountain, #1)",[Jean Craighead George],"Every kid thinks about running away at one point or another; few get farther than the end of the block. Young Sam Gribley gets to the end of the block and keeps going--all the way to the Catskill Mountains of upstate New York. There he sets up house in a huge hollowed-out tree, with a falcon and a weasel for companions and his wits as his tool for survival. In a spellbinding, touching, funny account, Sam learns to live off the land, and grows up a little in the process. Blizzards, hunters, loneliness, and fear all battle to drive Sam back to city life. But his desire for freedom, independence, and adventure is stronger. No reader will be immune to the compulsion to go right out and start whittling fishhooks and befriending raccoons. <p> Jean Craighead George, author of more than 80 children's books, including the Newbery Medal-winning <i>Julie of the Wolves</i>, created another prizewinner with <i>My Side of the Mountain</i>--a Newbery Honor Book, an ALA Notable Book, and a Hans Christian Andersen Award Honor Book. Astonishingly, she wrote its sequel, <i>On the Far Side of the Mountain</i>, 30 years later, and a decade after that penned the final book in the trilogy, <i>Frightful's Mountain</i>, told from the falcon's point of view. George has no doubt shaped generations of young readers with her outdoor adventures of the mind and spirit. (Ages 9 to 12) <i>--Emilie Coulter</i></p>",4.07,13.833333333333334,,
365,365,9780064409438,65640,"The Magician's Nephew (Chronicles of Narnia, #1)","[C.S. Lewis, Pauline Baynes]","A full-color paperback edition of <i>The Magician's Nephew</i>, book one in the classic fantasy series, <i>The Chronicles of Narnia</i>. This edition is complete with full-color cover and interior art by the original illustrator, Pauline Baynes.<br /><br />On a daring quest to save a life, two friends are hurled into another world, where an evil sorceress seeks to enslave them. But then the lion Aslan's song weaves itself into the fabric of a new land, a land that will be known as Narnia. And in Narnia, all things are possible.",4.04,16.5,,
372,372,9780425133545,415030,"The Sum of All Fears (Jack Ryan, #6)",[Tom Clancy],"A new world order... on the brink of destruction... <br />Peace may finally be at hand in the Middle East---as Jack Ryan lays the groundwork for a plan that could end centuries of conflict. But ruthless terrorists have a final, desperate card to play; with one terrible act, distrust mounts, forces collide, and the floundering U.S. president seems unable to cope with the crisis. <br />With the world on the verge of nuclear disaster, Ryan must frantically seek a solution---before the chiefs of state lose control of themselves and the world. <br />The author of five consecutive #1 bestsellers, Tom Clancy now offers his timeliest, most explosive novel yet, presented here in a special, expanded four-cassette program---six hours of the exceptional realism, authenticity and unrelenting suspense that make him the undisputed master of the contemporary thriller.",4.02,16.0,,
382,382,9780743457903,18989,"Tinker, Tailor, Soldier, Spy",[John le Carré],"A modern classic in which John le Carré expertly creates a total vision of a secret world, <i>Tinker, Tailor, Soldier, Spy</i> begins George Smiley's chess match of wills and wits with Karla, his Soviet counterpart. <br /><br />It is now beyond a doubt that a mole, implanted decades ago by Moscow Centre, has burrowed his way into the highest echelons of British Intelligence. His treachery has already blown some of its most vital operations and its best networks. It is clear that the double agent is one of its own kind. But which one? George Smiley is assigned to identify him. And once identified, the traitor must be destroyed.",4.05,17.0,,
421,421,9780345272577,44292626,The Hobbit,[J.R.R. Tolkien],"Bilbo Baggins was a hobbit who wanted to be left alone in quiet comfort. But the wizard Gandalf came along with a band of homeless dwarves. Soon Bilbo was drawn into their quest, facing evil orcs, savage wolves, giant spiders, and worse unknown dangers. Finally, it was Bilbo-alone and unaided-who had to confront the great dragon Smaug, the terror of an entire countryside . . .<br /><br />This stirring adventure fantasy begins the tale of the hobbits that was continued by J.R.R. Tolkien in his bestselling epic <i>The Lord of the Rings</i>.",4.27,17.666666666666668,,
426,426,9789707100565,824970,El Diccionario del Mago,"[Allan Zola Kronzek, Elizabeth Kronzek]","Conoce todas las claves del Universo de Harry Potter.<br />¿Cómo obtuvo la piedra filosofal su poder? ¿Es posible encontrar un basilisco en la actualidad? ¿Quién llevó la primera capa de invisibilidad? Millones de lectores han quedado cautivados por toda la magia, los hechizos y los animales mitológicos que constituyen el sorprendente mundo de Harry Potter. Sin embargo, lo que no saben muchos de estos lectores es que existen testimonios y leyendas centenarias que explican ese universo, compuesto de mitologías, folklore e historias verídicas. El diccionario del mago te descubrirá las claves para entender de dónde provienen todos los elementos que J.K.Rowling ha articulado en torno a su famoso personaje: amuletos y escobas voladoras, astrología y cartomancia, duendes excéntricos y búhos sabios... Una obra imprescindible para comprender que hay de verdad en el mundo fantástico del mago más intrépido.",4.04,16.0,,
447,447,9780380817153,52671289,"The Golden One (Amelia Peabody, #14)",[Elizabeth Peters],"A new year, 1917, is dawning, and the Great War that ravages the world shows no sign of abating. Answering the siren call of Egypt once more, Amelia Peabody and her family arrive at their home in Luxor to learn of a new royal tomb ransacked by thieves. Soon an even more disturbing outrage concerns the intrepid clan of archaeologists: the freshly and savagely slain corpse of a thief defiling the ancient burial site.<br /><br />Yet this is nothing compared with the lethal fate that threatens Ramses. Besieged by the British and defended by formidable Turkish and German forces, the fortified seaport of Gaza guards the gateway to the Holy Land. Answering a call he cannot refuse from British military intelligence, Ramses must journey to this ancient, fabled city to undertake a mission as personal as it is perilous. Death will surely be his lot if he is caught or exposed. Meanwhile, Ramses's wife, Nefret, guards a secret of her own....<br /><br />Once again the incomparable and bestselling carries us to a breathtaking realm of ancient wonders and crumbling splendor -- from the hectic bustle of the Cairo markets to remote, sand-swept corners of the Egyptian desert where the gods of antiquity sleep. Returning visitors to the world of Amelia Peabody will be enthralled by the latest mesmerizing adventure from the award-winning grandmaster, and newcomers will succumb to her wiles as they are caught up in the tantalizing spell of the remarkable Elizabeth Peters and <em>The Golden One.</em>",4.19,17.5,,
457,457,9780590353427,45286449,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","[J.K. Rowling, Mary GrandPré]","<i>Librarian note: Two alternate covers for this edition can be found <a href=""https://www.goodreads.com/book/show/15738816.here"" title=""here"" rel=""nofollow"">here</a> and <a href=""https://www.goodreads.com/book/show/25878460.here"" title=""here"" rel=""nofollow"">here</a>.</i><br /><br />Harry Potter has never played a sport while flying on a broomstick. He's never worn a cloak of invisibility, befriended a giant, or helped hatch a dragon. All Harry knows is a miserable life with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. Harry's room is a tiny closet at the foot of the stairs, and he hasn't had a birthday party in eleven years.<br /><br />But all that is about change when a mysterious letter arrives by owl messenger: a letter with an invitation to a wonderful place he never dreamed existed. There he finds not only friends, aerial sports, and magic around every corner, but a great destiny that's been waiting for him...if Harry can survive the encounter.<br />(back cover)",4.47,15.977777777777778,,
